x-axis,1,2
second,Volt,Volt
-28.20000E-03,+6.23115583E+00,+4.37185933E+00
-28.17900E-03,+6.23115583E+00,+4.22110556E+00
-28.15800E-03,+6.43216085E+00,+4.22110556E+00
-28.13700E-03,+6.43216085E+00,+4.22110556E+00
-28.11600E-03,+6.63316588E+00,+4.27135682E+00
-28.09500E-03,+6.83417091E+00,+4.37185933E+00
-28.07400E-03,+6.83417091E+00,+4.22110556E+00
-28.05300E-03,+7.03517593E+00,+4.27135682E+00
-28.03200E-03,+7.08542719E+00,+4.37185933E+00
-28.01100E-03,+7.28643222E+00,+4.27135682E+00
-27.99000E-03,+7.43718599E+00,+4.42211059E+00
-27.96900E-03,+7.63819101E+00,+4.42211059E+00
-27.94800E-03,+7.63819101E+00,+4.42211059E+00
-27.92700E-03,+7.83919604E+00,+4.42211059E+00
-27.90600E-03,+7.83919604E+00,+4.42211059E+00
-27.88500E-03,+8.04020107E+00,+4.42211059E+00
-27.86400E-03,+8.04020107E+00,+4.42211059E+00
-27.84300E-03,+8.24120609E+00,+4.42211059E+00
-27.82200E-03,+8.24120609E+00,+4.42211059E+00
-27.80100E-03,+8.44221112E+00,+4.42211059E+00
-27.78000E-03,+8.49246238E+00,+4.42211059E+00
-27.75900E-03,+8.64321615E+00,+4.42211059E+00
-27.73800E-03,+8.69346740E+00,+4.42211059E+00
-27.71700E-03,+8.84422117E+00,+4.27135682E+00
-27.69600E-03,+8.84422117E+00,+4.42211059E+00
-27.67500E-03,+9.04522620E+00,+4.42211059E+00
-27.65400E-03,+9.04522620E+00,+4.42211059E+00
-27.63300E-03,+9.24623123E+00,+4.42211059E+00
-27.61200E-03,+9.24623123E+00,+4.47236184E+00
-27.59100E-03,+9.29648248E+00,+4.47236184E+00
-27.57000E-03,+9.59799002E+00,+4.42211059E+00
-27.54900E-03,+9.64824128E+00,+4.42211059E+00
-27.52800E-03,+9.64824128E+00,+4.42211059E+00
-27.50700E-03,+9.84924631E+00,+4.42211059E+00
-27.48600E-03,+9.84924631E+00,+4.42211059E+00
-27.46500E-03,+9.84924631E+00,+4.42211059E+00
-27.44400E-03,+9.84924631E+00,+4.42211059E+00
-27.42300E-03,+10.05025133E+00,+4.42211059E+00
-27.40200E-03,+10.05025133E+00,+4.42211059E+00
-27.38100E-03,+10.10050259E+00,+4.47236184E+00
-27.36000E-03,+10.05025133E+00,+4.42211059E+00
-27.33900E-03,+10.20100510E+00,+4.42211059E+00
-27.31800E-03,+10.25125636E+00,+4.47236184E+00
-27.29700E-03,+10.25125636E+00,+4.42211059E+00
